No. of crab,Carapace Width Before (cm),Carapace Width After (cm),Size of Increment (cm),Body Weight Before (g),Body Weight After (g),Size of Increment (g)
98,7.63,8.56,0.93,61.8,68.1,6.3
99,7.49,7.95,0.46,59.6,65.3,5.7
100,7.68,8.09,0.41,61.8,66.7,4.9
101,7.76,8.59,0.83,64.3,71.2,6.9
102,8.58,9.54,0.96,72.4,81.2,8.8
103,7.93,8.82,0.89,65.3,69.6,4.3
104,7.84,8.49,0.65,63.1,69.8,6.7
105,7.14,8.24,1.1,60.8,68.5,7.7
106,7.84,8.98,1.14,72.9,83.6,10.7
107,7.83,8.54,0.71,70.6,79.5,8.9
108,7.93,8.98,1.05,75.4,85.2,9.8
109,7.24,8.36,1.12,68.9,77.9,9
110,7.26,7.75,0.49,69.7,76.5,6.8
111,7.74,8.33,0.59,70.8,77.3,6.5
112,7.35,8.07,0.72,69.8,74.3,4.5
113,7.13,7.83,0.7,66.4,75.1,8.7
114,7.68,8.38,0.7,74.3,83.1,8.8
115,7.07,7.73,0.66,66.7,71.8,5.1
116,7.44,8.22,0.78,69.5,76.3,6.8
117,8.44,9.35,0.91,79.6,87.9,8.3
118,8.05,9.26,1.21,77.8,88.4,10.6
119,8.87,9.84,0.97,88.3,92.1,3.8
120,7.16,7.95,0.79,68.3,74.8,6.5
121,6.27,6.65,0.38,59.7,68.3,8.6
122,6.63,7.39,0.76,68.1,78.9,10.8
123,6.56,7.29,0.73,67.1,71.7,4.6
124,7.86,8.48,0.62,75.9,79.9,4
125,8.26,9.43,1.17,69.6,78.9,9.3
126,7.69,8.66,0.97,73.2,84.3,11.1
127,7.84,8.78,0.94,68.3,76.9,8.6
128,8.05,8.68,0.63,73.2,85.1,11.9
129,8.39,9.44,1.05,72.4,83.3,10.9
130,7.61,8.61,1,66.7,78.1,11.4
131,7.62,8.55,0.93,68.9,76.3,7.4
132,8.9,9.9,1,76.9,89.3,12.4
133,8.35,9.44,1.09,63.2,75.1,11.9
134,7.43,8.82,1.39,65.2,75.1,9.9
135,8.67,10.17,1.5,77.8,89.2,11.4
